epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.877,2.27942,1.5503,0.909,0.81247,0.5206,0.58872,0.27955,1.90298,1.0927,0.88404,0.000998902,0.000998902,0.000998902
2,469.164,2.1223,1.07891,0.88796,0.81451,0.5407,0.5997,0.28521,1.87989,0.96037,0.91236,0.00133926,0.00133926,0.00133926
3,690.7,1.94007,0.94822,0.88742,0.82915,0.54525,0.6166,0.31421,1.75679,0.8494,0.88039,0.00068,0.00068,0.00068
